5	5	9457	0	10001936466
5	5	9570	0	10001086760
5	5	9497	0	9999120978
5	5	9431	0	10001096107
5	5	9543	0	9996377074
5	15	3291	0	9998399461
5	15	3284	0	9990012251
5	15	3282	0	9992181335
5	15	3280	0	9999605073
5	15	3288	0	9998885667
5	25	1977	0	9997682287
5	25	1985	0	9994520583
5	25	1984	0	9998755761
5	25	1985	0	9999204824
5	25	1981	0	9993216844
5	35	1420	0	9982223553
5	35	1420	0	9982995667
5	35	1403	0	9988159480
5	35	1415	0	9986422352
5	35	1420	0	9992008395
5	45	1093	0	9963625201
5	45	1105	0	9979097878
5	45	1105	0	9985658398
5	45	1099	0	9999410784
5	45	1100	0	9985839206
5	55	904	0	9994157921
5	55	904	0	9991665586
5	55	905	0	9975903267
5	55	905	0	9986632316
5	55	899	0	9964892235
5	65	760	0	9962105344
5	65	765	0	9970217081
5	65	765	0	9957759763
5	65	770	0	9993858455
5	65	770	0	9989903830
5	75	665	0	9941299758
5	75	665	0	9948001166
5	75	665	0	9940640308
5	75	665	0	9943181801
5	75	665	0	9940885429
5	85	585	0	9932465756
5	85	585	0	9960768936
5	85	587	0	9974841738
5	85	590	0	9980864272
5	85	585	0	9929702004
5	95	525	0	9944619063
5	95	525	0	9919292429
5	95	525	0	9913173002
5	95	525	0	9924506601
5	95	525	0	9923328193
5	5	9457	0	10001936466
5	5	9570	0	10001086760
5	5	9497	0	9999120978
5	5	9431	0	10001096107
5	5	9543	0	9996377074
5	15	3291	0	9998399461
5	15	3284	0	9990012251
5	15	3282	0	9992181335
5	15	3280	0	9999605073
5	15	3288	0	9998885667
5	25	1977	0	9997682287
5	25	1985	0	9994520583
5	25	1984	0	9998755761
5	25	1985	0	9999204824
5	25	1981	0	9993216844
5	35	1420	0	9982223553
5	35	1420	0	9982995667
5	35	1403	0	9988159480
5	35	1415	0	9986422352
5	35	1420	0	9992008395
5	45	1093	0	9963625201
5	45	1105	0	9979097878
5	45	1105	0	9985658398
5	45	1099	0	9999410784
5	45	1100	0	9985839206
5	55	904	0	9994157921
5	55	904	0	9991665586
5	55	905	0	9975903267
5	55	905	0	9986632316
5	55	899	0	9964892235
5	65	760	0	9962105344
5	65	765	0	9970217081
5	65	765	0	9957759763
5	65	770	0	9993858455
5	65	770	0	9989903830
5	75	665	0	9941299758
5	75	665	0	9948001166
5	75	665	0	9940640308
5	75	665	0	9943181801
5	75	665	0	9940885429
5	85	585	0	9932465756
5	85	585	0	9960768936
5	85	587	0	9974841738
5	85	590	0	9980864272
5	85	585	0	9929702004
5	95	525	0	9944619063
5	95	525	0	9919292429
5	95	525	0	9913173002
5	95	525	0	9924506601
5	95	525	0	9923328193
10	5	18811	0	10001131283
10	5	19072	0	10000568277
10	5	18210	0	10002033866
10	5	17908	0	9999050872
10	5	17010	0	10001154325
10	15	6517	0	9999178050
10	15	6534	0	9993891431
10	15	6559	0	10007141192
10	15	6530	0	10001084644
10	15	6565	0	10001812867
10	25	3868	0	10001134546
10	25	3789	0	10006136652
10	25	3749	0	9998859185
10	25	3865	0	10000621445
10	25	3891	0	9999689617
10	35	2837	0	9998558794
10	35	2828	0	9998344538
